house_age,dist_to_mrt,num_convenience_stores,area_m2,floors,price_million_vnd
11.6,801.0,3,136.0,5,4812.5
18.7,164.7,9,86.7,2,3258.1
19.6,3032.0,9,151.2,1,4831.4
7.3,3527.1,1,177.6,1,4956.0
34.0,1058.3,6,164.8,2,5199.3
27.4,714.5,4,46.3,1,1192.5
32.9,396.3,10,116.9,3,4097.5
31.4,1444.7,5,56.8,1,2304.0
21.3,1023.5,1,78.7,3,2307.5
32.3,242.0,4,197.9,5,6029.3
4.0,2034.6,9,62.8,4,3066.0
7.7,1483.2,3,119.8,3,4099.4
2.5,2493.4,8,138.9,2,4842.6
12.1,1134.9,5,152.4,3,5180.7
14.2,860.3,1,129.5,3,4335.8
10.2,533.4,0,41.6,2,1946.4
29.2,2259.2,4,92.2,1,2751.0
13.1,1708.3,8,122.8,4,4350.5
10.6,137.0,5,54.1,2,2515.6
19.5,121.4,9,96.1,2,4118.1
5.8,477.9,6,45.3,2,2150.0
28.3,1430.9,4,52.6,2,1478.5
3.5,3591.4,9,103.5,4,4193.6
34.6,230.4,5,61.2,3,2161.2
27.3,821.4,4,130.8,3,3535.1
7.8,483.6,10,150.3,1,5458.4
1.2,2903.0,8,168.1,2,5387.0
28.7,1576.7,5,72.0,2,2305.1
25.0,1557.8,10,66.8,1,2535.7
25.8,605.9,7,56.7,2,2244.9
27.2,528.7,1,141.8,3,4506.4
3.5,355.5,8,153.0,1,5147.1
13.2,146.4,4,45.1,3,2220.2
4.9,1700.3,6,189.8,2,6028.6
30.3,1440.9,9,48.3,1,1990.6
22.2,6638.0,0,126.6,2,3241.3
12.3,4655.9,9,153.4,5,4845.5
3.2,748.5,4,179.4,4,6359.3
11.6,1272.2,9,154.3,5,5398.1
12.1,2416.9,1,168.3,2,5211.0
25.8,1615.8,5,94.3,1,2995.2
22.7,327.3,10,170.4,3,6267.6
31.2,579.1,0,52.8,2,1505.9
17.1,210.6,2,183.2,4,5758.7
5.1,2564.2,4,127.6,1,4018.9
25.3,845.5,3,170.8,2,5040.6
26.9,307.7,2,112.4,2,3689.8
20.1,991.1,9,143.0,2,4330.2
27.2,870.1,4,124.2,3,3659.0
17.8,454.7,10,157.1,2,5043.8
18.8,196.4,7,53.1,2,2530.3
15.5,990.8,10,49.7,2,2790.8
1.9,687.7,3,79.5,2,2981.7
4.7,1283.8,0,65.5,3,2379.4
2.1,687.4,10,179.5,4,6465.5
22.6,1629.4,6,75.1,5,3234.4
11.7,742.2,7,196.1,3,6182.8
18.3,758.5,2,93.9,2,3115.8
31.9,1774.2,5,69.1,3,2552.6
9.5,513.3,1,166.4,2,5346.0
15.0,215.1,6,145.4,2,4909.1
26.7,123.4,7,119.7,4,4497.0
8.8,1225.6,5,128.9,1,3456.0
3.6,874.7,5,155.1,4,5601.8
10.9,1074.1,4,76.6,2,2596.1
6.5,291.6,7,199.4,3,6169.3
32.6,217.3,0,196.0,3,5847.2
28.5,111.7,9,144.1,4,5372.1
22.5,445.3,3,71.9,3,2526.4
30.6,813.1,3,148.8,3,4795.3
28.3,498.4,2,51.6,1,2055.2
7.3,560.3,2,44.9,3,2376.1
31.3,1976.0,3,81.2,2,2832.2
19.3,442.5,10,114.0,3,4429.2
28.5,677.2,0,178.9,3,5267.6
31.5,1324.7,10,156.3,3,4633.8
11.8,504.1,10,158.8,1,5315.3
4.7,878.5,1,108.1,1,3269.3
8.7,1686.5,8,95.3,3,4227.8
15.5,2489.0,9,99.4,1,3304.9
28.8,227.3,1,198.0,1,5703.3
30.3,2189.3,4,46.4,1,1496.6
1.2,642.0,8,178.7,5,6447.2
18.4,339.0,8,132.6,3,5125.8
15.2,591.7,7,110.2,2,3706.2
8.6,3230.9,0,156.0,2,4602.0
5.1,642.8,0,117.9,2,3643.9
12.5,418.9,8,179.7,3,5698.4
33.1,902.8,10,184.1,3,5710.5
12.0,319.7,7,107.5,2,3884.8
18.6,163.1,9,84.3,2,3144.9
24.9,210.4,8,134.8,1,4196.4
13.4,209.6,6,186.0,3,5737.9
34.0,231.8,2,73.7,3,2349.9
33.7,219.6,2,139.7,2,3696.2
9.6,919.3,1,141.0,1,4549.8
17.9,260.6,4,157.3,1,4923.8
11.2,439.3,2,61.1,5,2216.5
10.7,1916.8,5,154.5,2,4838.0
2.3,613.9,1,185.4,3,5757.6
21.7,981.0,2,68.7,3,2455.6
18.1,251.3,4,78.0,2,3163.7
2.8,270.8,10,195.4,2,6184.8
10.5,133.4,10,69.0,1,2968.4
31.9,248.0,0,176.7,3,5129.2
9.1,361.2,0,118.8,3,4135.4
5.9,255.8,9,79.6,3,3519.9
17.6,174.3,8,179.3,3,5781.9
34.5,202.8,6,111.2,1,3350.1
9.2,594.1,0,122.4,5,4016.1
23.9,284.9,7,97.5,3,3817.1
26.9,462.4,2,134.9,2,4082.8
9.1,660.0,7,66.2,5,3612.3
25.8,1038.0,4,102.6,3,3336.8
13.5,132.1,0,195.1,3,5835.7
22.5,1385.2,6,81.3,3,2471.4
22.5,890.9,4,145.1,4,4224.7
19.2,168.2,5,92.0,3,2897.2
4.1,1754.5,5,163.8,1,5286.2
29.4,2129.4,7,60.9,2,2204.0
11.9,150.4,8,195.2,4,6209.7
7.3,359.3,1,112.6,2,4008.3
2.4,1412.7,8,77.8,2,3029.8
21.1,1203.5,10,51.8,2,2286.3
24.0,263.2,9,67.2,2,3127.7
1.6,287.9,8,123.2,3,4947.0
18.4,470.2,9,93.9,4,3646.8
8.7,630.1,9,172.6,2,5611.6
22.9,870.4,6,108.9,1,2900.6
6.9,468.3,0,79.8,2,2572.0
24.5,596.7,6,138.7,4,4613.2
14.1,1201.0,9,153.1,3,4981.2
32.8,129.9,4,66.7,2,2184.7
5.7,332.7,5,66.8,4,2990.4
12.6,1099.6,9,45.9,4,2342.6
4.9,1904.6,6,157.8,4,5221.1
32.4,673.4,4,146.2,4,4656.3
30.8,707.6,6,115.9,2,3810.2
9.8,190.7,8,175.1,3,5707.8
23.4,574.5,2,168.9,2,5473.6
28.8,708.5,7,133.7,4,4471.6
19.9,322.2,1,178.9,3,5508.7
19.0,350.9,10,72.9,3,3286.2
9.2,478.9,6,57.9,3,2653.2
4.2,116.2,1,83.2,2,3286.4
31.5,411.0,3,49.1,3,1849.7
31.6,290.0,6,125.0,5,4134.3
22.5,417.4,2,189.9,4,6021.7
12.5,202.1,1,46.3,1,1396.3
12.9,1869.7,10,59.5,2,2561.4
25.7,820.3,9,112.4,1,3725.8
31.5,1009.3,6,189.4,3,5747.3
31.2,1345.4,0,90.6,4,2718.0
27.5,652.0,7,121.2,2,3432.0
22.8,172.7,2,46.7,3,1671.0
3.9,716.2,1,63.7,4,2655.1
6.5,807.1,2,197.9,3,6321.1
31.6,1194.6,4,194.4,3,5514.7
21.6,552.0,10,40.8,3,2471.2
1.3,209.2,7,192.3,3,6342.9
4.5,367.0,9,142.3,2,5390.6
23.6,460.9,6,178.9,3,5838.5
1.2,930.6,6,112.8,3,4033.5
6.5,776.6,6,122.5,4,5017.3
19.7,452.2,7,118.2,3,3817.7
24.5,3545.0,0,146.7,3,4328.1
23.2,844.7,3,62.3,2,2407.4
8.6,316.6,5,44.8,2,1893.3
25.2,185.9,8,89.3,1,3503.3
9.1,232.7,1,152.7,2,4795.8
12.1,325.8,0,72.3,3,2678.9
26.4,240.1,9,147.7,5,5296.2
23.1,265.2,1,195.2,1,5650.2
29.9,368.5,6,55.0,2,2265.8
23.4,252.3,2,147.6,4,4964.7
20.3,1916.6,9,111.0,2,3282.6
4.2,166.9,1,178.9,3,6169.1
13.5,694.7,10,68.3,3,2551.7
10.0,522.6,6,150.8,3,5459.1
9.3,3330.9,1,174.1,2,5403.2
34.1,195.1,2,191.1,2,5249.5
14.4,505.8,10,149.3,3,5176.7
31.3,2891.2,6,119.5,3,3316.9
22.5,1705.0,3,138.9,1,4008.9
28.0,1458.9,0,179.0,3,5076.9
18.1,338.6,4,131.3,1,4378.4
20.6,249.9,8,44.9,3,2532.0
17.7,983.6,7,189.0,2,6384.0
7.6,2220.3,8,150.3,5,5177.7
25.6,750.9,9,148.2,2,4801.9
10.5,778.2,8,74.5,2,2531.6
1.8,362.8,6,145.4,1,4739.7
22.9,1274.0,3,103.0,2,3488.8
7.0,265.7,4,144.2,4,5511.6
33.0,412.9,0,57.1,5,1658.8
33.4,543.3,0,145.3,2,3954.3
32.1,666.8,2,199.9,2,5772.1
13.6,322.1,7,47.7,3,2381.2
1.5,197.6,1,196.3,4,6219.9
32.6,854.6,3,105.1,3,3383.0
15.6,372.5,1,179.3,2,5343.6
33.9,796.4,4,165.2,2,4875.9
33.8,234.1,8,130.7,3,4487.4
30.0,624.9,0,158.2,1,4425.0
11.0,708.4,4,180.6,3,5720.3
14.1,142.6,8,104.7,2,3829.1
29.9,428.3,0,92.3,3,2800.1
11.8,215.5,8,146.8,1,4859.4
6.8,152.4,7,169.3,3,5776.7
19.9,3781.0,3,162.0,2,5070.2
32.8,411.3,10,167.7,3,5641.0
24.7,1428.1,9,109.7,1,3523.3
20.4,335.1,4,170.9,3,5642.0
4.3,1015.3,4,59.2,3,2435.8
21.9,1242.5,10,127.1,3,4774.3
34.7,824.4,5,40.9,3,1656.5
5.8,610.3,6,91.9,3,3557.1
18.6,524.6,7,98.6,4,3848.9
30.8,443.2,7,103.4,2,2986.9
26.2,2222.0,10,151.3,4,4722.2
24.7,1520.5,1,102.2,2,2679.4
24.9,2782.5,8,111.8,1,3478.3
13.2,206.2,6,78.0,1,3376.6
11.0,1150.0,3,99.7,2,3981.2
28.5,2328.9,3,76.4,3,2534.0
28.5,260.0,10,51.7,3,2473.2
30.5,155.0,7,136.6,3,4001.9
32.1,1181.1,3,146.9,3,4253.0
18.4,783.5,5,139.1,2,4269.8
18.1,1575.3,4,114.2,1,3358.7
28.1,220.4,2,100.8,2,3081.3
23.1,1368.8,9,178.1,2,5535.5
24.9,280.1,10,123.1,1,3620.1
28.1,243.0,1,116.7,2,3722.0
31.3,243.6,8,44.1,3,1652.6
12.5,1448.1,9,94.6,3,3687.2
13.8,975.4,8,100.8,5,4569.1
4.2,692.3,0,103.8,4,3430.7
20.7,455.6,9,132.8,3,3954.1
2.2,1777.8,2,125.4,2,4017.1
16.8,498.7,7,137.3,3,5038.9
19.4,1456.9,5,162.4,3,5700.1
10.7,562.6,4,170.1,1,5007.0
21.1,478.5,4,154.9,2,4999.3
2.0,596.9,5,192.9,4,6402.2
2.3,386.9,6,42.9,2,2164.7
29.0,1201.4,0,71.3,3,2901.9
13.2,658.9,8,41.2,3,1725.5
5.3,311.4,2,143.6,2,4798.6
18.8,1938.7,3,183.7,2,5603.9
27.2,487.5,9,79.0,2,3227.1
8.3,727.4,0,188.3,1,5673.2
22.2,1995.6,10,49.6,1,2047.6
3.9,883.0,9,189.5,4,6500.4
2.8,199.5,2,96.3,2,3537.1
19.1,2348.5,1,56.2,3,1743.3
19.4,890.5,1,117.7,2,3795.0
22.7,426.3,0,81.1,4,2647.6
25.7,220.0,7,85.6,2,3153.1
34.2,1364.0,2,89.2,2,2549.6
18.6,874.2,2,168.5,4,5654.0
12.0,709.9,5,126.3,4,4460.2
28.0,1894.6,7,89.8,2,2426.2
10.2,1343.2,8,137.7,4,5282.7
15.9,231.6,8,154.6,2,4960.3
3.7,398.9,3,83.6,2,2944.4
1.9,328.5,4,106.2,1,3583.0
33.7,1189.9,1,59.5,1,1971.0
29.4,127.3,10,69.0,3,2218.7
24.7,775.0,8,149.0,2,5713.0
14.9,1249.9,7,69.0,2,2950.3
6.9,1774.9,2,124.0,3,4148.2
6.3,434.9,10,153.4,3,5545.2
9.5,1477.4,8,57.1,2,2530.3
19.7,193.8,2,130.8,3,4380.1
25.3,1599.0,8,81.1,1,2892.8
23.4,209.1,1,194.1,3,6032.3
10.5,505.1,9,117.4,3,4431.4
33.5,1376.8,8,169.0,5,5438.0
26.1,229.9,7,128.0,1,4075.5
19.8,308.3,8,46.9,1,1955.7
21.8,1124.8,4,141.3,2,4706.6
15.3,1118.5,10,192.2,2,6459.5
9.4,919.9,10,136.3,2,4031.9
13.1,1047.2,1,171.1,4,5612.1
26.8,726.0,7,181.5,2,5706.9
1.5,332.1,5,76.5,2,3089.9
4.9,439.3,7,73.9,3,3069.4
2.6,260.3,10,137.8,2,5414.6
2.4,2012.7,4,105.8,3,4012.3
30.1,800.5,9,174.4,1,5178.6
24.9,509.8,1,184.0,2,5536.3
17.1,595.9,5,96.5,1,2961.6
4.3,2454.3,4,77.9,1,2272.5
17.7,233.2,4,164.9,4,5274.4
17.1,806.0,0,84.0,1,2798.1
6.9,664.0,1,171.6,3,5758.5
15.8,856.3,7,107.8,2,3915.7
14.5,114.6,2,146.8,2,4878.0
21.9,1745.4,9,55.3,4,2568.2
22.6,2252.0,2,139.8,1,3788.4
2.5,766.2,7,112.3,3,4377.2
13.7,1054.3,7,133.9,5,5068.3
22.3,2146.0,1,66.9,3,2315.4
18.1,1082.7,7,157.9,4,5658.2
30.1,232.4,10,178.0,1,5823.6
23.4,787.0,0,74.7,2,2393.8
6.5,846.6,5,55.3,2,2649.1
3.4,541.5,7,43.8,3,2342.3
22.8,1166.8,2,142.7,5,4367.9
1.9,2278.9,7,137.1,2,4626.4
20.9,2178.3,0,127.5,3,3552.7
33.0,579.5,10,77.1,2,2627.1
20.6,196.1,10,102.5,3,3867.1
14.2,3451.3,8,135.1,2,4091.7
22.9,1560.6,10,119.5,5,4310.3
16.6,206.5,8,198.0,3,6001.8
19.6,2129.0,4,61.8,2,2143.6
33.0,1731.5,9,151.2,1,4582.6
14.1,685.2,3,104.7,2,3266.0
33.7,815.8,10,108.5,2,3838.8
31.8,507.3,5,154.8,2,4984.4
7.7,145.1,6,150.8,4,4916.8
3.4,426.6,4,198.6,3,6305.6
4.4,1399.0,10,60.5,3,2662.3
1.6,103.7,9,56.7,1,2431.6
4.2,424.6,8,155.9,4,5890.5
24.2,506.2,2,132.5,3,4110.2
3.4,716.7,6,83.9,1,3096.6
11.8,2119.1,9,52.7,3,1817.2
29.7,440.1,9,53.7,3,2463.8
1.8,440.9,10,183.1,1,5903.8
28.7,1170.0,4,70.7,2,2299.5
10.6,581.5,6,91.7,2,3466.1
5.0,303.5,1,76.3,2,3169.7
24.7,581.8,3,96.8,4,2949.7
22.4,221.5,1,51.1,4,1156.1
30.8,255.2,6,123.0,3,4101.2
26.0,651.9,1,50.8,2,2161.0
28.3,534.3,10,168.1,2,5798.7
10.6,2070.6,0,77.4,3,2616.7
7.0,460.0,8,126.4,3,4529.8
26.5,795.1,0,180.8,1,5326.0
28.4,900.3,7,144.1,3,4393.5
34.7,110.5,1,125.3,4,4003.6
15.0,971.4,7,91.9,2,3467.5
13.6,256.8,2,93.3,1,3362.2
27.4,2696.8,5,147.1,3,5205.2
12.6,228.8,2,199.1,2,6269.6
32.6,528.4,6,145.9,2,4371.5
30.2,171.4,9,129.2,2,4307.8
15.6,4714.5,8,156.9,2,4251.7
26.5,658.0,1,114.4,3,3343.1
26.7,823.9,4,49.6,3,1766.2
4.5,155.5,5,130.0,2,4412.6
31.7,1208.9,3,193.2,4,5857.4
18.2,288.5,3,68.0,4,2433.2
29.1,1926.7,3,150.4,4,4890.1
11.9,283.7,1,72.1,2,2552.3
31.4,269.3,3,125.7,2,3819.5
14.2,129.8,10,55.5,5,2839.5
1.4,611.0,0,112.1,3,3913.2
31.8,765.6,5,161.0,1,4984.7
4.1,154.4,0,95.6,1,2951.9
11.9,1295.2,9,146.4,2,4805.7
33.3,583.1,5,167.3,4,5169.2
33.3,694.5,0,188.3,3,5043.8
20.5,564.9,5,77.5,2,2525.1
22.5,509.7,9,103.9,1,3459.7
16.2,756.1,7,64.4,3,2914.5
11.0,235.0,10,198.8,4,6954.2
12.2,260.6,1,188.3,2,5856.7
23.9,1683.2,1,126.4,3,4035.7
26.6,2436.7,3,174.7,5,5313.0
27.9,473.8,10,123.4,2,4323.9
27.8,352.6,2,139.8,3,4291.2
4.1,926.3,3,54.3,2,2308.6
17.8,520.4,6,160.8,3,5147.4
3.0,120.6,10,60.4,3,2371.6
19.7,235.8,0,172.2,3,5230.6
16.0,1106.9,5,165.1,3,5730.8
31.2,960.5,2,153.4,2,4718.0
12.9,122.0,10,45.8,4,2844.9
5.0,300.8,9,88.5,3,4068.4
5.9,310.2,6,82.1,2,3260.8
26.9,991.5,9,97.6,3,3555.6
22.0,115.9,1,54.0,3,1819.4
4.4,187.9,1,189.9,2,5906.6
3.9,1387.2,3,128.6,4,4657.5
24.8,257.3,0,88.9,4,3288.0
3.5,946.2,2,103.5,2,3523.4
28.9,317.6,8,111.6,5,3968.3
25.0,183.8,6,136.1,1,4308.5
3.8,322.9,6,122.5,2,4572.0
3.9,1124.9,10,187.1,2,5949.7
34.5,1648.7,3,119.5,4,3003.8
13.7,1518.6,1,198.7,3,5871.4
13.6,504.9,3,176.2,2,5187.2
28.6,982.3,5,73.4,2,2298.5
33.2,283.5,10,188.9,3,6046.0
34.5,377.5,10,58.6,1,2057.7
26.6,1913.3,2,170.8,4,5540.2
13.8,110.5,0,100.9,4,3595.2
3.8,171.5,7,180.5,3,6297.8
